,name,Chukar.Occurrence
1,Abbott,A
2,Abbott Lake,A
3,Abbott NW,A
4,Abeytas,A
5,Abiquiu,A
6,Abo,A
7,Abreu Canyon,A
8,Acme,A
9,Acoma Pueblo,A
10,Adams Diggings,A
11,Aden Crater,A
12,Aden Hills,A
13,Adobe Downs Ranch,A
14,Afton,A
15,Afton NW,A
16,Agua Fria,A
17,Agua Fria Peak,A
18,Akela,A
19,Alameda,A
20,Alamito,A
21,Alamo Mesa East,A
22,Alamo Mesa West,A
23,Alamo Mountain,A
24,Alamo Mountain NE,A
25,Alamo Ranch,A
26,Alamogordo North,A
27,Alamogordo South,A
28,Alamosa Canyon,A
29,Alamosa Creek,A
30,Albert,A
31,Albuquerque East,A
32,Albuquerque West,A
33,Alegres Mountain,A
34,Algerita Canyon,A
35,Alire,A
36,Alivio,A
37,Allie Canyon,A
38,Alma,A
39,Alma Mesa,A
40,Alps Mesa,A
41,Alston Ranch,A
42,Alto De Hormiga,A
43,Amalia,A
44,Ambrosia Lake,A
45,Amistad,A
46,Amistad SE,A
47,Anastacio Spring,A
48,Ancho,A
49,Anderson Peak,A
50,Andrews Place,A
51,Angel Draw,A
52,Angus,A
53,Animas,A
54,Animas Peak,A
55,Animas Peak NE,A
56,Antelope Hill,A
57,Antelope Lookout Mesa,A
58,Antelope Pass,A
59,Antelope Ridge,A
60,Antelope Sink,A
61,Anthony,A
62,Anton Chico,A
63,Apache Canyon,A
64,Apache Gap,A
65,Apache Mesa,A
66,Apache Peak,A
67,Apache Springs,A
68,Apache Summit,A
69,Applegate Mountain,A
70,Arabela,A
71,Aragon,A
72,Aragon Hill,A
73,Arch,A
74,Arch Mesa,A
75,Arch NE,A
76,Arch NW,A
77,Archuleta,A
78,Ares Peak,A
79,Armstrong Canyon,A
80,Arrosa Ranch,A
81,Arrowhead Well,A
82,Arroyo Alamocito,A
83,Arroyo Chijuillita,A
84,Arroyo Cuervo,A
85,Arroyo de las Calabacillas,A
86,Arroyo Del Agua,A
87,Arroyo Del Alamo,A
88,Arroyo Empedrado,A
89,Arroyo Hondo,A
90,Arroyo Landavaso,A
91,Arroyo Seco,A
92,Arroyo Serrano East,A
93,Arroyo Serrano West,A
94,Artesia,A
95,Artesia NE,A
96,Ash Mountain,A
97,Aspen Basin,A
98,Atarque Lake,A
99,Atencio,A
100,Augustine Well,A
101,Aurora,A
102,Avis,A
103,Azotea Peak,A
104,Aztec,A
105,B T Ranch,A
106,Badger Lake,A
107,Baily Points,A
108,Baldy Mountain,A
109,Bancos Mesa,A
