#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
1,Abercrombie Mountain,A,N,0
2,Aberdeen,A,N,0
3,Aberdeen Gardens,A,N,0
4,Aberdeen SE,A,N,0
5,Abernathy Mountain,A,N,0
6,Acme,A,Y,0
7,Adams Mountain,A,Y,0
8,Addy,A,Y,0
9,Addy Mountain,A,Y,0
10,Adna,A,N,0
11,Aeneas,A,Y,0
12,Aeneas Lake,P,Y,1
13,Agnes Mountain,A,N,0
14,Airway Heights,A,Y,0
15,Aladdin,A,Y,0
16,Aladdin Mountain,A,N,0
17,Alameda Flat,P,Y,1
18,Albion,A,Y,0
19,Alger,A,Y,0
20,Allens Bay,A,Y,0
21,Almira,P,Y,1
22,Almira SE,P,Y,1
23,Almira SW,P,Y,1
24,Almota,P,Y,1
25,Alpowa Ridge,P,Y,1
26,Alstown,P,Y,1
27,Amber,A,Y,0
28,Amboy,A,Y,0
29,Anacortes North,A,Y,0
30,Anacortes South,A,Y,0
31,Anatone,P,Y,1
32,Anderson Creek,A,N,0
33,Anderson Lake,A,N,0
34,Angeles Point,A,Y,0
35,Appledale,P,Y,1
36,Appleton,A,Y,0
37,Arden,A,Y,0
38,Ardenvoir,P,N,1
39,Ariel,A,Y,0
40,Arlington,A,N,0
41,Arlington East,A,N,0
42,Arlington West,A,N,0
43,Armstrong Creek,P,Y,1
44,Ashford,A,Y,0
45,Ashnola Mountain,P,Y,1
46,Ashnola Pass,P,Y,1
47,Asotin,P,Y,1
48,Astoria,A,N,0
49,Auburn,A,N,0
50,Ayer,P,Y,1
51,Azurite Peak,A,Y,0
52,Azwell,P,N,1
53,Babcock Ridge,P,Y,1
54,Bacon Peak,A,Y,0
55,Badger Gap,P,Y,1
56,Badger Mountain,P,Y,1
57,Bailey Creek,A,Y,0
58,Baker Pass,A,Y,0
59,Bald Hill,A,Y,0
60,Bald Knob,A,N,0
61,Baldy Mountain,P,N,1
62,Bandera,A,N,0
63,Bangs Mountain,A,N,0
64,Bare Mountain,A,N,0
65,Baring,A,N,0
66,Barker Canyon,P,Y,1
67,Barker Mountain,P,Y,1
68,Barnes Butte,P,Y,1
69,Basin City,P,Y,1
