"","name","WAT","EN_FOR","DN_FOR","DB_FOR","MIX_FOR","CL_SHB","OP_SHB","WOOD_SAV","SAV","GRA","WETL","CROP","URB","NAT_CROP","SNOW","BAR","ELEV_MAX","ELEV_AVE","ELEV_MIN","SMAX","SAVG","ASP","BIO_1","BIO_2","BIO_3","BIO_4","BIO_5","BIO_6","BIO_7","BIO_8","BIO_9","BIO_10","BIO_11","BIO_12","BIO_13","BIO_14","BIO_15","BIO_16","BIO_17","BIO_18","BIO_19"
"1","Abbott",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"1983.43347167969","1856.24805571626","1782.83776855469",6.66969156265259,1.21145596905141,215.787261548527,10.0055364877141,18.6396563628999,45.3991177539481,821.713966143105,31.1324996948242,-10.5552501678467,41.055187702179,20.2084271113078,-0.0516457955042521,20.2084271113078,-0.0516457955042521,381.25,77.75,7.75,76.9774434916112,197.25,24.25,197.25,24.25
"2","Abbott Lake",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"1897.12329101562","1799.61343672074","1730.46350097656",6.84754991531372,1.38966157248713,217.123087151863,10.2780364449912,18.2938646284553,44.9000861498941,823.320320959504,31.1324996948242,-10.5275001525879,40.7313749790192,20.4908749659856,0.159791688124339,20.4908749659856,0.159791688124339,386,76.25,7.75,74.8400262459538,197,26,197,26
"3","Abbott NW",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"1952.60498046875","1847.02805903137","1778.59362792969",9.21687507629395,1.33661828921379,235.220483347906,10.0359166984757,18.8647084782521,45.5917062044979,823.425783472205,30.8222503662109,-10.5552501678467,41.3775005340576,20.249041557312,-0.0470417340596517,20.249041557312,-0.0470417340596517,379,78,8,75.7147920457757,194,24,194,24
"4","Abeytas",0,0,0,0,0,0,69.33,0,0,18.11,0,11.89,0.22,0,0,0.44,"1557.11633300781","1469.94425543927","1436",9.47161388397217,1.09091007221349,200.09023080458,13.3682917058468,19.6908333102862,45.6874411917563,846.366574663407,34.5895004272461,-8.80949974060059,43.0973744392395,23.3162291844686,5.03689606984456,23.8200834592183,3.05216674009959,231,49,8.5,68.1413519755667,120,26.5,98,30
"5","Abiquiu",0,0,0,0,0,0.67,7.22,9.33,0.33,81.22,0,0.89,0.33,0,0,0,"2561.22705078125","2031.8861079677","1793.00170898438",33.0401992797852,7.69659516356581,166.743234940555,8.61864321422763,16.1627239487134,41.3138233026518,822.567209197677,29.7654991149902,-12.9444999694824,39.1185622215271,18.4761248628298,1.56648964403818,18.7222811579704,-1.38681243856748,407.25,72,18.75,51.193194532507,178,61,162.25,68.5
"6","Abo",0,0,0,0,0,0.11,54.11,2,0,43.78,0,0,0,0,0,0,"2214.99560546875","1968.01584479794","1823.80749511719",23.7532348632812,3.12802345834861,222.17765548491,10.8128021247685,17.0459376002351,44.326396310203,786.562067066886,29.3050003051758,-9.15050029754639,38.4555006027222,19.7315834363302,6.24704177677631,20.6561250686646,1.27270825703939,387,74,15,63.684618058819,195,51,168,60
"7","Abreu Canyon",0,0,0,0,0,0.22,0.11,4.78,0,94.78,0,0.11,0,0,0,0,"2651.02490234375","2424.46885612397","2142.11669921875",28.5400524139404,8.60739723350779,149.77934258028,7.02601302834228,16.3661614423618,45.0360308290774,739.865417232709,27.0149993896484,-12.3647499084473,36.3319375514984,16.3194478551547,-1.78326038519541,16.3194478551547,-1.78326038519541,457,79.5,16,55.787899163005,198.75,49.5,198.75,49.5
"8","Acme",0,0,0,0,0,0,86.56,0,0,13.44,0,0,0,0,0,0,"1218.60913085938","1140.56902172535","1067.70935058594",9.26343441009521,0.930367709263149,241.724883276988,15.4339687429989,18.2330520544201,43.7976708685108,847.57980127803,36.4492492675781,-6.11175012588501,41.626749753952,24.9585104783376,6.84676039218903,25.6845521529516,4.84663539131483,338.25,63.75,8.25,67.3974424916455,165.75,27.25,155.75,31.5
"9","Acoma Pueblo",0,0,0,0,0,0,72.11,0,0,27.89,0,0,0,0,0,0,"2132.03588867188","1934.80205958672","1829.16284179688",32.4603004455566,3.92003586986967,177.05609034015,10.6723750109474,17.8628332465887,44.9650931209802,802.102224514894,30.0340003967285,-9.69200038909912,39.7260007858276,20.0162917772929,9.73137500882149,20.7994583447774,1.08195821444194,270,56,11,68.1938203628789,142,35,117,41
"10","Adams Diggings",0,0,0,0,0,0.56,28.22,1.78,0,69.44,0,0,0,0,0,0,"2461.83618164062","2275.15396727654","2176.92578125",21.9359016418457,2.97594889545084,172.969634881342,8.80406769240896,20.8771560962001,49.4851274292519,777.223399619206,29.5172500610352,-12.9230003356934,42.1894998550415,17.8208959897359,12.4324581523736,18.5384376049042,-0.565374930699666,328,70.5,11.5,70.0962578688105,173,36,143.5,54.5
