,name,Chukar.Occurrence,Chukar.Occurrence.Regression
1,Abbott Butte,A,0
2,Acker Rock,A,0
3,Acty Mountain,P,1
4,Acty Mountain NE,P,1
5,Acty Mountain NW,P,1
6,Adams,P,1
7,Adel,A,0
8,Adobe Flat,P,1
9,Adrian,P,1
10,Agency Lake,A,0
11,Agness,A,0
12,Airlie North,A,0
13,Airlie South,A,0
14,Akers Butte,P,1
15,Albany,A,0
16,Alder Creek,P,1
17,Aldrich Gulch,P,1
18,Aldrich Mountain North,P,1
19,Aldrich Mountain South,P,1
20,Alec Butte,P,1
21,Alfalfa,A,0
22,Alger Lake,P,1
23,Alkali Buttes,A,0
24,Alkali Flat,A,0
25,Alkali Lake,A,0
26,Allegany,A,0
27,Alsea,A,0
28,Alsup Mountain,P,1
29,Altamont,P,1
30,Alvord Hot Springs,P,1
31,Amity,A,0
32,Ana River,A,0
33,Ancient Lake Well,P,1
34,Anderson Mountain,P,1
35,Anderson Reservoir,P,1
36,Andies Prairie,P,1
37,Andrews,P,1
38,Aneroid Mountain,P,1
39,Angell Butte,A,0
40,Ankle Creek,P,1
41,Anns Butte,A,0
42,Antelope,A,0
43,Antelope Butte,P,1
44,Antelope Mountain,A,0
45,Antelope Reservoir,P,1
46,Anthony Butte,P,1
47,Anthony Lakes,P,1
48,Antler Point,A,0
49,Antone,A,0
50,Applegate,A,0
51,Applegate Butte,A,0
52,Arbuckle Mountain,P,1
53,Arch Cape,A,0
54,Arkansas Flat,A,0
55,Arlington,A,0
56,Arock,P,1
57,Arrastra Butte,A,0
58,Arrowwood Point,A,0
59,Ashland,A,0
60,Ashwood,A,0
61,Aspen Lake,A,0
62,Astoria,A,0
63,Athena,P,1
64,Austin,P,1
65,Avery Creek,P,1
66,Axehandle Butte,A,0
67,Bacona,A,0
68,Badger Lake,A,0
69,Bagby Hot Springs,A,0
70,Baker City,P,1
71,Baker Point,A,0
72,Baldy Mountain,A,0
73,Balls Lake,P,1
74,Ballston,A,0
75,Bally Mountain,P,1
76,Balm Canyon,P,1
77,Balm Creek Reservoir,P,1
78,Bandon,A,0
79,Bannock Ridge,P,1
80,Barklow Mountain,A,0
81,Barnes Valley,A,0
82,Barnhart,P,1
83,Barrel Springs,P,1
84,Bartlett Mountain,P,1
85,Barton Lake,P,1
86,Basque,P,1
87,Bassey Creek,P,1
88,Bates,P,1
89,Bath Canyon,A,0
90,Battle Ax,A,0
91,Battle Creek Ranch,P,1
92,Battle Mountain,P,1
93,Bear Butte,A,0
94,Bear Canyon Butte,P,1
95,Bearbones Mountain,A,0
96,Beatty,A,0
97,Beatys Butte,P,1
98,Beatys Butte NW,P,1
99,Beaver,A,0
100,Beaver Butte,A,0
101,Beaver Charlie Breaks,P,1
102,Beaver Creek,A,0
103,Beaver Mountain,A,0
104,Beaverdam Creek,P,1
105,Beaverton,A,0
106,Becker Creek,P,1
107,Bedford Point,A,0
108,Belknap Springs,A,0
109,Belshaw Meadows,P,1
110,Bend,A,0
111,Bend Airport,A,0
112,Benham Falls,A,0
113,Benjamin Lake,A,0
114,Bennet Peak,P,1
115,Beulah,P,1
116,Big Baldy,A,0
117,Big Butte Springs,A,0
118,Big Canyon,P,1
119,Big Craggies,A,0
120,Big Hole,A,0
121,Big Lookout Mountain,P,1
122,Big Meadows,P,1
123,Big Mowich Mountain,P,1
124,Big Mud Flat,P,1
125,Big Pasture Creek,P,1
126,Big Rock Flat,P,1
127,Big Spring Butte,P,1
128,Big Weasel Springs,P,1
129,Biggs Junction,A,0
130,Bill Peak,A,0
