"","name","WAT","EN_FOR","EB_FOR","DN_FOR","DB_FOR","MIX_FOR","CL_SHB","OP_SHB","WOOD_SAV","SAV","GRA","WETL","CROP","URB","NAT_CROP","SNOW","BAR","ELEV_MAX","ELEV_AVE","ELEV_MIN","SMAX","SAVG","ASP","BIO_1","BIO_2","BIO_3","BIO_4","BIO_5","BIO_6","BIO_7","BIO_8","BIO_9","BIO_10","BIO_11","BIO_12","BIO_13","BIO_14","BIO_15","BIO_16","BIO_17","BIO_18","BIO_19"
"1","Abbott Butte",0,97.56,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,"1851.36962890625","1298.47371456533","644.658386230469",37.207691192627,14.1867000727925,169.748174808778,8.3082499653101,10.6475000083447,45.5050547725392,505.704350300209,19.8587493896484,-3.53975009918213,23.3984994888306,3.58345840374629,14.6167079607646,15.19837474823,3.25804169972738,1349,228,17,68.2959863670033,651,81,87,591
"2","Acker Rock",0,99.67,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,"1272.751953125","796.807039017345","461.069274902344",47.1912994384766,15.2531799845966,183.206364095525,9.85947911534458,11.5757082185398,45.361578900685,536.395857505619,22.1132507324219,-3.40549993515015,25.518750667572,4.46412489811579,16.69429175059,16.9514584541321,4.15175000826518,1370,227,17,67.0994218361962,654,82,91,586
"3","Acty Mountain",0,0,0,0,0,0,0,0.44,0,0,99.56,0,0,0,0,0,0,"2126.38403320312","1842.16323479387","1707.845703125",23.9276523590088,2.79077612927511,183.071180929506,7.19468228643139,14.3349583223462,41.5072807179167,742.630388100265,25.3217506408691,-10.2425003051758,34.5362501144409,4.24441662430763,16.9373020728429,16.9373020728429,-1.24416669209798,282.25,30.5,11,25.4181596432629,86,45.5,45.5,76
"4","Acty Mountain NE",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"2069.0185546875","1662.12535783914","1476.81311035156",27.2106304168701,4.80041767059407,188.964345903587,7.64119792232911,14.6051040838162,42.0230425114719,739.739297935705,25.7129993438721,-9.73824977874756,34.7488751411438,9.33433321118355,17.2840834458669,17.2840834458669,-0.742229143778483,266,29,10.5,24.7875344057218,81.5,44,44,68.5
"5","Acty Mountain NW",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"2004.73217773438","1686.63468617177","1567.11450195312",18.8287734985352,2.73045314731732,158.445355738795,7.44888539860646,14.5679166764021,42.0254475922314,738.236383939183,25.7129993438721,-10.2425003051758,34.6614999771118,9.07210411628087,17.0986562569936,17.0986562569936,-0.9275208512942,274.75,30,10.75,25.2317827064613,84.25,44.75,44.75,71.25
"6","Adams",0,0,0,0,0,0,0,0,0,0,1.89,0,98.11,0,0,0,0,"637.270080566406","536.927359249939","444.843963623047",8.44146156311035,2.3266901194958,185.600068288409,10.4799167124244,12.422364591,37.2986209179693,755.959242493304,26.5014991760254,-7.89975023269653,33.302249789238,1.94758333576222,19.7271459499995,20.0100833574931,1.4500416914622,441,58.25,13,38.9845734118798,165,51.75,57.75,148
"7","Adel",0,0,0,0,0,0,0,0.11,0,0.11,96.44,0,2.56,0.78,0,0,0,"2109.54418945312","1688.08753680634","1363",37.8986511230469,6.97388308296791,197.154769131857,6.90282290347386,14.1343854036337,41.9537854501232,721.39245172957,25.2084999084473,-10.6000003814697,33.6862502098083,-0.375125050544739,16.1832603613536,16.1832603613536,-1.34438540538152,374,43.5,12.25,32.979620488131,126.75,47.25,47.25,116.75
"8","Adobe Flat",0,0,0,0,0,0,0,0,0,0,99.44,0,0.56,0,0,0,0,"1603.14050292969","1318.00990317524","1251.59167480469",29.431001663208,3.03584220145133,166.822711352252,8.02312750617663,15.5196300943693,42.2961019253817,769.821536281935,26.6889991760254,-10.7419996261597,36.6838116645813,-0.173062453667323,17.7957602143288,17.8219684759776,-0.895072996616364,271.75,30.25,10.25,27.6049141122998,89,41,45.25,80.75
"9","Adrian",0,0,0,0,0,0,0,1.33,0,0,42.89,0,55.78,0,0,0,0,"971.037536621094","730.879264771469","665.444152832031",24.5826015472412,2.95879173459902,174.984623154842,10.5622760467231,14.7728332653642,37.7219877732742,874.725990068033,29.1455001831055,-10.4340000152588,39.1616251468658,0.482843726873398,20.7556666930517,21.4568543036779,-0.242489596207937,272.75,31.75,8.5,31.5145157958845,92.5,37.5,46.5,86
"10","Agency Lake",30.67,19.22,0,0.22,0,1.33,0.11,0,7.56,1.11,17.56,2.78,18,0.33,1.11,0,0,"1458.94348144531","1278.91915987774","1261.04699707031",24.0008563995361,1.3473024168636,180.530485893218,7.16035421440999,15.2687083135049,44.3851356949118,701.397249783039,23.3167495727539,-11.0837497711182,34.4004993438721,-0.538750012715658,15.8079584439596,15.9743336041768,-1.21441666285197,551,93,9,63.6937381985829,267,46,49,236
