"","name","WAT","FOR","SHB","WOOD_SAV","SAV","GRA","WETL","URB","CROP","SNOW","BAR","ELEV_MAX","ELEV_AVE","ELEV_MIN","SMAX","SAVG","ASP","BIO_1","BIO_5","BIO_6","BIO_12","Chukar.Occurrence"
"1","Abbott Butte",0,100,0,0,0,0,0,0,0,0,0,1851.36962890625,1298.47371456533,644.658386230469,37.207691192627,14.1867000727925,169.748174808778,8.3082499653101,19.8587493896484,-3.53975009918213,1349,"A"
"2","Acker Rock",0,100,0,0,0,0,0,0,0,0,0,1272.751953125,796.807039017345,461.069274902344,47.1912994384766,15.2531799845966,183.206364095525,9.85947911534458,22.1132507324219,-3.40549993515015,1370,"A"
"3","Acty Mountain",0,0,0.44,0,0,99.56,0,0,0,0,0,2126.38403320312,1842.16323479387,1707.845703125,23.9276523590088,2.79077612927511,183.071180929506,7.19468228643139,25.3217506408691,-10.2425003051758,282.25,"P"
"4","Acty Mountain NE",0,0,0,0,0,100,0,0,0,0,0,2069.0185546875,1662.12535783914,1476.81311035156,27.2106304168701,4.80041767059407,188.964345903587,7.64119792232911,25.7129993438721,-9.73824977874756,266,"P"
"5","Acty Mountain NW",0,0,0,0,0,100,0,0,0,0,0,2004.73217773438,1686.63468617177,1567.11450195312,18.8287734985352,2.73045314731732,158.445355738795,7.44888539860646,25.7129993438721,-10.2425003051758,274.75,"P"
"6","Adams",0,0,0,0,0,1.89,0,0,98.11,0,0,637.270080566406,536.927359249939,444.843963623047,8.44146156311035,2.3266901194958,185.600068288409,10.4799167124244,26.5014991760254,-7.89975023269653,441,"P"
"7","Adel",0,0,0.11,0,0.11,96.44,0,0.78,2.56,0,0,2109.54418945312,1688.08753680634,1363,37.8986511230469,6.97388308296791,197.154769131857,6.90282290347386,25.2084999084473,-10.6000003814697,374,"A"
"8","Adobe Flat",0,0,0,0,0,99.44,0,0,0.56,0,0,1603.14050292969,1318.00990317524,1251.59167480469,29.431001663208,3.03584220145133,166.822711352252,8.02312750617663,26.6889991760254,-10.7419996261597,271.75,"P"
"9","Adrian",0,0,1.33,0,0,42.89,0,0,55.78,0,0,971.037536621094,730.879264771469,665.444152832031,24.5826015472412,2.95879173459902,174.984623154842,10.5622760467231,29.1455001831055,-10.4340000152588,272.75,"P"
"10","Agency Lake",30.67,20.77,0.11,7.56,1.11,17.56,2.78,0.33,19.11,0,0,1458.94348144531,1278.91915987774,1261.04699707031,24.0008563995361,1.3473024168636,180.530485893218,7.16035421440999,23.3167495727539,-11.0837497711182,551,"A"
